INFO - xla_bridge.py - 2025-01-29 13:55:15,168 - Unable to initialize backend 'cuda': 
INFO - xla_bridge.py - 2025-01-29 13:55:15,170 - Unable to initialize backend 'rocm': module 'jaxlib.xla_extension' has no attribute 'GpuAllocatorConfig'
INFO - xla_bridge.py - 2025-01-29 13:55:15,209 - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
INFO - checkpoints.py - 2025-01-29 13:55:17,040 - Restoring orbax checkpoint from /home/komodo/Documents/uni/thesis/score_sde/checkpoints-meta/checkpoint_15
INFO - checkpointer.py - 2025-01-29 13:55:17,045 - Restoring item from /home/komodo/Documents/uni/thesis/score_sde/checkpoints-meta/checkpoint_15.
INFO - run_lib.py - 2025-01-29 13:55:23,266 - step: 150200, eval_loss: 3.66459e-01
INFO - run_lib.py - 2025-01-29 13:55:23,434 - step: 150250, training_loss: 3.46478e-01
INFO - run_lib.py - 2025-01-29 13:55:23,617 - step: 150300, training_loss: 3.76937e-01
INFO - run_lib.py - 2025-01-29 13:55:23,630 - step: 150300, eval_loss: 3.68237e-01
INFO - run_lib.py - 2025-01-29 13:55:23,828 - step: 150350, training_loss: 3.60531e-01
INFO - run_lib.py - 2025-01-29 13:55:24,018 - step: 150400, training_loss: 3.22906e-01
INFO - run_lib.py - 2025-01-29 13:55:24,031 - step: 150400, eval_loss: 3.46827e-01
INFO - run_lib.py - 2025-01-29 13:55:24,191 - step: 150450, training_loss: 3.08402e-01
INFO - run_lib.py - 2025-01-29 13:55:24,352 - step: 150500, training_loss: 2.98072e-01
INFO - run_lib.py - 2025-01-29 13:55:24,358 - step: 150500, eval_loss: 3.27148e-01
INFO - run_lib.py - 2025-01-29 13:55:24,539 - step: 150550, training_loss: 3.53707e-01
INFO - run_lib.py - 2025-01-29 13:55:24,763 - step: 150600, training_loss: 3.20017e-01
INFO - run_lib.py - 2025-01-29 13:55:24,773 - step: 150600, eval_loss: 2.78877e-01
INFO - run_lib.py - 2025-01-29 13:55:24,956 - step: 150650, training_loss: 2.66875e-01
INFO - run_lib.py - 2025-01-29 13:55:25,167 - step: 150700, training_loss: 2.85540e-01
INFO - run_lib.py - 2025-01-29 13:55:25,177 - step: 150700, eval_loss: 3.46872e-01
INFO - run_lib.py - 2025-01-29 13:55:25,461 - step: 150750, training_loss: 3.18767e-01
INFO - run_lib.py - 2025-01-29 13:55:25,637 - step: 150800, training_loss: 3.02909e-01
INFO - run_lib.py - 2025-01-29 13:55:25,666 - step: 150800, eval_loss: 3.40786e-01
INFO - run_lib.py - 2025-01-29 13:55:25,835 - step: 150850, training_loss: 3.52363e-01
INFO - run_lib.py - 2025-01-29 13:55:26,048 - step: 150900, training_loss: 3.38954e-01
INFO - run_lib.py - 2025-01-29 13:55:26,063 - step: 150900, eval_loss: 3.63674e-01
INFO - run_lib.py - 2025-01-29 13:55:26,339 - step: 150950, training_loss: 3.65640e-01
INFO - run_lib.py - 2025-01-29 13:55:26,627 - step: 151000, training_loss: 3.26943e-01
INFO - run_lib.py - 2025-01-29 13:55:26,651 - step: 151000, eval_loss: 3.21168e-01
INFO - run_lib.py - 2025-01-29 13:55:26,866 - step: 151050, training_loss: 3.71334e-01
INFO - run_lib.py - 2025-01-29 13:55:27,086 - step: 151100, training_loss: 3.31557e-01
INFO - run_lib.py - 2025-01-29 13:55:27,113 - step: 151100, eval_loss: 3.78406e-01
INFO - run_lib.py - 2025-01-29 13:55:27,275 - step: 151150, training_loss: 3.66026e-01
INFO - run_lib.py - 2025-01-29 13:55:27,479 - step: 151200, training_loss: 3.64614e-01
INFO - run_lib.py - 2025-01-29 13:55:27,505 - step: 151200, eval_loss: 3.48170e-01
INFO - run_lib.py - 2025-01-29 13:55:27,649 - step: 151250, training_loss: 3.54911e-01
INFO - run_lib.py - 2025-01-29 13:55:27,900 - step: 151300, training_loss: 3.63751e-01
INFO - run_lib.py - 2025-01-29 13:55:27,911 - step: 151300, eval_loss: 3.54953e-01
INFO - run_lib.py - 2025-01-29 13:55:28,075 - step: 151350, training_loss: 3.23651e-01
INFO - run_lib.py - 2025-01-29 13:55:28,236 - step: 151400, training_loss: 3.31799e-01
INFO - run_lib.py - 2025-01-29 13:55:28,243 - step: 151400, eval_loss: 3.32109e-01
INFO - run_lib.py - 2025-01-29 13:55:28,443 - step: 151450, training_loss: 2.85523e-01
INFO - run_lib.py - 2025-01-29 13:55:28,622 - step: 151500, training_loss: 3.29084e-01
INFO - run_lib.py - 2025-01-29 13:55:28,629 - step: 151500, eval_loss: 2.88812e-01
INFO - run_lib.py - 2025-01-29 13:55:28,793 - step: 151550, training_loss: 3.42304e-01
INFO - run_lib.py - 2025-01-29 13:55:28,981 - step: 151600, training_loss: 3.37167e-01
INFO - run_lib.py - 2025-01-29 13:55:28,998 - step: 151600, eval_loss: 3.33268e-01
INFO - run_lib.py - 2025-01-29 13:55:29,156 - step: 151650, training_loss: 3.35179e-01
INFO - run_lib.py - 2025-01-29 13:55:29,328 - step: 151700, training_loss: 3.61545e-01
INFO - run_lib.py - 2025-01-29 13:55:29,343 - step: 151700, eval_loss: 3.95241e-01
INFO - run_lib.py - 2025-01-29 13:55:29,504 - step: 151750, training_loss: 3.37095e-01
INFO - run_lib.py - 2025-01-29 13:55:29,694 - step: 151800, training_loss: 3.48434e-01
INFO - run_lib.py - 2025-01-29 13:55:29,700 - step: 151800, eval_loss: 3.12196e-01
INFO - run_lib.py - 2025-01-29 13:55:29,855 - step: 151850, training_loss: 3.30774e-01
INFO - run_lib.py - 2025-01-29 13:55:30,020 - step: 151900, training_loss: 3.41135e-01
INFO - run_lib.py - 2025-01-29 13:55:30,031 - step: 151900, eval_loss: 3.34802e-01
INFO - run_lib.py - 2025-01-29 13:55:30,175 - step: 151950, training_loss: 3.58609e-01
INFO - run_lib.py - 2025-01-29 13:55:30,384 - step: 152000, training_loss: 3.03687e-01
INFO - run_lib.py - 2025-01-29 13:55:30,393 - step: 152000, eval_loss: 2.83234e-01
INFO - run_lib.py - 2025-01-29 13:55:30,552 - step: 152050, training_loss: 3.57065e-01
INFO - run_lib.py - 2025-01-29 13:55:30,755 - step: 152100, training_loss: 3.06684e-01
INFO - run_lib.py - 2025-01-29 13:55:30,763 - step: 152100, eval_loss: 3.19424e-01
INFO - run_lib.py - 2025-01-29 13:55:30,915 - step: 152150, training_loss: 3.31193e-01
INFO - run_lib.py - 2025-01-29 13:55:31,063 - step: 152200, training_loss: 3.12145e-01
INFO - run_lib.py - 2025-01-29 13:55:31,083 - step: 152200, eval_loss: 3.56986e-01
INFO - run_lib.py - 2025-01-29 13:55:31,275 - step: 152250, training_loss: 3.36438e-01
INFO - run_lib.py - 2025-01-29 13:55:31,485 - step: 152300, training_loss: 3.17578e-01
INFO - run_lib.py - 2025-01-29 13:55:31,491 - step: 152300, eval_loss: 3.46110e-01
INFO - run_lib.py - 2025-01-29 13:55:31,690 - step: 152350, training_loss: 3.22108e-01
INFO - run_lib.py - 2025-01-29 13:55:31,865 - step: 152400, training_loss: 3.39760e-01
INFO - run_lib.py - 2025-01-29 13:55:31,878 - step: 152400, eval_loss: 3.17812e-01
INFO - run_lib.py - 2025-01-29 13:55:32,109 - step: 152450, training_loss: 3.62369e-01
INFO - run_lib.py - 2025-01-29 13:55:32,284 - step: 152500, training_loss: 3.55548e-01
INFO - run_lib.py - 2025-01-29 13:55:32,291 - step: 152500, eval_loss: 3.30125e-01
INFO - run_lib.py - 2025-01-29 13:55:32,462 - step: 152550, training_loss: 3.24684e-01
INFO - run_lib.py - 2025-01-29 13:55:32,623 - step: 152600, training_loss: 3.47572e-01
INFO - run_lib.py - 2025-01-29 13:55:32,630 - step: 152600, eval_loss: 3.24598e-01
INFO - run_lib.py - 2025-01-29 13:55:32,818 - step: 152650, training_loss: 3.63631e-01
INFO - run_lib.py - 2025-01-29 13:55:32,993 - step: 152700, training_loss: 3.80234e-01
INFO - run_lib.py - 2025-01-29 13:55:33,000 - step: 152700, eval_loss: 3.80676e-01
INFO - run_lib.py - 2025-01-29 13:55:33,148 - step: 152750, training_loss: 3.66576e-01
INFO - run_lib.py - 2025-01-29 13:55:33,298 - step: 152800, training_loss: 3.70894e-01
INFO - run_lib.py - 2025-01-29 13:55:33,308 - step: 152800, eval_loss: 3.64587e-01
INFO - run_lib.py - 2025-01-29 13:55:33,477 - step: 152850, training_loss: 3.55049e-01
INFO - run_lib.py - 2025-01-29 13:55:33,656 - step: 152900, training_loss: 3.57018e-01
INFO - run_lib.py - 2025-01-29 13:55:33,665 - step: 152900, eval_loss: 3.47226e-01
INFO - run_lib.py - 2025-01-29 13:55:33,920 - step: 152950, training_loss: 3.21047e-01
INFO - run_lib.py - 2025-01-29 13:55:34,096 - step: 153000, training_loss: 2.84933e-01
INFO - run_lib.py - 2025-01-29 13:55:34,119 - step: 153000, eval_loss: 3.26859e-01
INFO - run_lib.py - 2025-01-29 13:55:34,291 - step: 153050, training_loss: 3.37908e-01
INFO - run_lib.py - 2025-01-29 13:55:34,467 - step: 153100, training_loss: 3.32711e-01
INFO - run_lib.py - 2025-01-29 13:55:34,474 - step: 153100, eval_loss: 3.39153e-01
INFO - run_lib.py - 2025-01-29 13:55:34,592 - step: 153150, training_loss: 3.40067e-01
INFO - run_lib.py - 2025-01-29 13:55:34,695 - step: 153200, training_loss: 3.25563e-01
INFO - run_lib.py - 2025-01-29 13:55:34,702 - step: 153200, eval_loss: 3.30559e-01
INFO - run_lib.py - 2025-01-29 13:55:34,801 - step: 153250, training_loss: 3.11056e-01
INFO - run_lib.py - 2025-01-29 13:55:34,895 - step: 153300, training_loss: 3.29939e-01
INFO - run_lib.py - 2025-01-29 13:55:34,902 - step: 153300, eval_loss: 3.29694e-01
INFO - run_lib.py - 2025-01-29 13:55:35,006 - step: 153350, training_loss: 3.18183e-01
INFO - run_lib.py - 2025-01-29 13:55:35,115 - step: 153400, training_loss: 3.37362e-01
INFO - run_lib.py - 2025-01-29 13:55:35,121 - step: 153400, eval_loss: 3.00140e-01
INFO - run_lib.py - 2025-01-29 13:55:35,225 - step: 153450, training_loss: 3.16429e-01
INFO - run_lib.py - 2025-01-29 13:55:35,332 - step: 153500, training_loss: 3.31118e-01
INFO - run_lib.py - 2025-01-29 13:55:35,339 - step: 153500, eval_loss: 3.05401e-01
INFO - run_lib.py - 2025-01-29 13:55:35,448 - step: 153550, training_loss: 3.06222e-01
INFO - run_lib.py - 2025-01-29 13:55:35,548 - step: 153600, training_loss: 2.98978e-01
INFO - run_lib.py - 2025-01-29 13:55:35,553 - step: 153600, eval_loss: 2.57676e-01
INFO - run_lib.py - 2025-01-29 13:55:35,667 - step: 153650, training_loss: 3.66665e-01
INFO - run_lib.py - 2025-01-29 13:55:35,777 - step: 153700, training_loss: 3.60873e-01
INFO - run_lib.py - 2025-01-29 13:55:35,783 - step: 153700, eval_loss: 3.18433e-01
INFO - run_lib.py - 2025-01-29 13:55:35,922 - step: 153750, training_loss: 3.38859e-01
INFO - run_lib.py - 2025-01-29 13:55:36,034 - step: 153800, training_loss: 3.28407e-01
INFO - run_lib.py - 2025-01-29 13:55:36,041 - step: 153800, eval_loss: 3.33753e-01
INFO - run_lib.py - 2025-01-29 13:55:36,151 - step: 153850, training_loss: 3.44886e-01
INFO - run_lib.py - 2025-01-29 13:55:36,281 - step: 153900, training_loss: 3.19369e-01
INFO - run_lib.py - 2025-01-29 13:55:36,288 - step: 153900, eval_loss: 3.15347e-01
INFO - run_lib.py - 2025-01-29 13:55:36,401 - step: 153950, training_loss: 2.90087e-01
INFO - run_lib.py - 2025-01-29 13:55:36,498 - step: 154000, training_loss: 3.35646e-01
INFO - run_lib.py - 2025-01-29 13:55:36,504 - step: 154000, eval_loss: 3.06639e-01
INFO - run_lib.py - 2025-01-29 13:55:36,618 - step: 154050, training_loss: 3.08654e-01
INFO - run_lib.py - 2025-01-29 13:55:36,721 - step: 154100, training_loss: 2.84784e-01
INFO - run_lib.py - 2025-01-29 13:55:36,728 - step: 154100, eval_loss: 3.53538e-01
INFO - run_lib.py - 2025-01-29 13:55:36,837 - step: 154150, training_loss: 3.08744e-01
INFO - run_lib.py - 2025-01-29 13:55:36,932 - step: 154200, training_loss: 3.65939e-01
INFO - run_lib.py - 2025-01-29 13:55:36,939 - step: 154200, eval_loss: 3.56572e-01
INFO - run_lib.py - 2025-01-29 13:55:37,117 - step: 154250, training_loss: 3.69113e-01
INFO - run_lib.py - 2025-01-29 13:55:37,244 - step: 154300, training_loss: 3.45702e-01
INFO - run_lib.py - 2025-01-29 13:55:37,251 - step: 154300, eval_loss: 3.72824e-01
INFO - run_lib.py - 2025-01-29 13:55:37,341 - step: 154350, training_loss: 3.80376e-01
INFO - run_lib.py - 2025-01-29 13:55:37,425 - step: 154400, training_loss: 3.82227e-01
INFO - run_lib.py - 2025-01-29 13:55:37,431 - step: 154400, eval_loss: 3.71649e-01
INFO - run_lib.py - 2025-01-29 13:55:37,513 - step: 154450, training_loss: 3.33373e-01
INFO - run_lib.py - 2025-01-29 13:55:37,591 - step: 154500, training_loss: 2.97732e-01
INFO - run_lib.py - 2025-01-29 13:55:37,597 - step: 154500, eval_loss: 3.59046e-01
INFO - run_lib.py - 2025-01-29 13:55:37,681 - step: 154550, training_loss: 3.46443e-01
INFO - run_lib.py - 2025-01-29 13:55:37,767 - step: 154600, training_loss: 3.25832e-01
INFO - run_lib.py - 2025-01-29 13:55:37,773 - step: 154600, eval_loss: 2.98823e-01
INFO - run_lib.py - 2025-01-29 13:55:37,864 - step: 154650, training_loss: 3.32652e-01
INFO - run_lib.py - 2025-01-29 13:55:37,955 - step: 154700, training_loss: 3.09830e-01
INFO - run_lib.py - 2025-01-29 13:55:37,963 - step: 154700, eval_loss: 2.96153e-01
INFO - run_lib.py - 2025-01-29 13:55:38,053 - step: 154750, training_loss: 3.16112e-01
INFO - run_lib.py - 2025-01-29 13:55:38,130 - step: 154800, training_loss: 3.44939e-01
INFO - run_lib.py - 2025-01-29 13:55:38,136 - step: 154800, eval_loss: 3.37809e-01
INFO - run_lib.py - 2025-01-29 13:55:38,223 - step: 154850, training_loss: 2.76903e-01
INFO - run_lib.py - 2025-01-29 13:55:38,301 - step: 154900, training_loss: 3.03022e-01
INFO - run_lib.py - 2025-01-29 13:55:38,308 - step: 154900, eval_loss: 2.87274e-01
INFO - run_lib.py - 2025-01-29 13:55:38,396 - step: 154950, training_loss: 3.23752e-01
INFO - run_lib.py - 2025-01-29 13:55:38,478 - step: 155000, training_loss: 2.76317e-01
INFO - run_lib.py - 2025-01-29 13:55:38,484 - step: 155000, eval_loss: 3.31424e-01
INFO - run_lib.py - 2025-01-29 13:55:38,568 - step: 155050, training_loss: 3.40957e-01
INFO - run_lib.py - 2025-01-29 13:55:38,650 - step: 155100, training_loss: 3.95253e-01
INFO - run_lib.py - 2025-01-29 13:55:38,658 - step: 155100, eval_loss: 3.41838e-01
INFO - run_lib.py - 2025-01-29 13:55:38,757 - step: 155150, training_loss: 3.03886e-01
INFO - run_lib.py - 2025-01-29 13:55:38,909 - step: 155200, training_loss: 3.26635e-01
INFO - run_lib.py - 2025-01-29 13:55:38,917 - step: 155200, eval_loss: 3.32825e-01
INFO - run_lib.py - 2025-01-29 13:55:39,017 - step: 155250, training_loss: 3.38972e-01
INFO - run_lib.py - 2025-01-29 13:55:39,099 - step: 155300, training_loss: 3.67270e-01
INFO - run_lib.py - 2025-01-29 13:55:39,106 - step: 155300, eval_loss: 3.48030e-01
INFO - run_lib.py - 2025-01-29 13:55:39,215 - step: 155350, training_loss: 3.41693e-01
INFO - run_lib.py - 2025-01-29 13:55:39,299 - step: 155400, training_loss: 3.87521e-01
INFO - run_lib.py - 2025-01-29 13:55:39,305 - step: 155400, eval_loss: 3.36524e-01
INFO - run_lib.py - 2025-01-29 13:55:39,398 - step: 155450, training_loss: 3.09313e-01
INFO - run_lib.py - 2025-01-29 13:55:39,488 - step: 155500, training_loss: 3.13138e-01
INFO - run_lib.py - 2025-01-29 13:55:39,494 - step: 155500, eval_loss: 3.72569e-01
INFO - run_lib.py - 2025-01-29 13:55:39,584 - step: 155550, training_loss: 3.96001e-01
INFO - run_lib.py - 2025-01-29 13:55:39,705 - step: 155600, training_loss: 3.40622e-01
INFO - run_lib.py - 2025-01-29 13:55:39,712 - step: 155600, eval_loss: 3.20629e-01
INFO - run_lib.py - 2025-01-29 13:55:39,815 - step: 155650, training_loss: 3.46322e-01
INFO - run_lib.py - 2025-01-29 13:55:39,910 - step: 155700, training_loss: 3.44135e-01
INFO - run_lib.py - 2025-01-29 13:55:39,915 - step: 155700, eval_loss: 3.39243e-01
INFO - run_lib.py - 2025-01-29 13:55:40,010 - step: 155750, training_loss: 3.61277e-01
INFO - run_lib.py - 2025-01-29 13:55:40,119 - step: 155800, training_loss: 3.24725e-01
INFO - run_lib.py - 2025-01-29 13:55:40,127 - step: 155800, eval_loss: 3.69751e-01
INFO - run_lib.py - 2025-01-29 13:55:40,222 - step: 155850, training_loss: 3.10472e-01
INFO - run_lib.py - 2025-01-29 13:55:40,307 - step: 155900, training_loss: 3.64450e-01
INFO - run_lib.py - 2025-01-29 13:55:40,313 - step: 155900, eval_loss: 2.80427e-01
INFO - run_lib.py - 2025-01-29 13:55:40,404 - step: 155950, training_loss: 3.16970e-01
INFO - run_lib.py - 2025-01-29 13:55:40,496 - step: 156000, training_loss: 3.18032e-01
INFO - run_lib.py - 2025-01-29 13:55:40,502 - step: 156000, eval_loss: 3.01566e-01
INFO - run_lib.py - 2025-01-29 13:55:40,592 - step: 156050, training_loss: 3.22832e-01
INFO - run_lib.py - 2025-01-29 13:55:40,683 - step: 156100, training_loss: 2.87442e-01
INFO - run_lib.py - 2025-01-29 13:55:40,688 - step: 156100, eval_loss: 3.65065e-01
INFO - run_lib.py - 2025-01-29 13:55:40,812 - step: 156150, training_loss: 3.03565e-01
INFO - run_lib.py - 2025-01-29 13:55:40,910 - step: 156200, training_loss: 3.36679e-01
INFO - run_lib.py - 2025-01-29 13:55:40,915 - step: 156200, eval_loss: 2.92801e-01
INFO - run_lib.py - 2025-01-29 13:55:41,009 - step: 156250, training_loss: 3.20931e-01
INFO - run_lib.py - 2025-01-29 13:55:41,098 - step: 156300, training_loss: 3.53785e-01
INFO - run_lib.py - 2025-01-29 13:55:41,103 - step: 156300, eval_loss: 3.35429e-01
INFO - run_lib.py - 2025-01-29 13:55:41,199 - step: 156350, training_loss: 2.82450e-01
INFO - run_lib.py - 2025-01-29 13:55:41,293 - step: 156400, training_loss: 3.03827e-01
INFO - run_lib.py - 2025-01-29 13:55:41,300 - step: 156400, eval_loss: 3.24630e-01
INFO - run_lib.py - 2025-01-29 13:55:41,383 - step: 156450, training_loss: 2.88281e-01
INFO - run_lib.py - 2025-01-29 13:55:41,506 - step: 156500, training_loss: 2.75989e-01
INFO - run_lib.py - 2025-01-29 13:55:41,512 - step: 156500, eval_loss: 3.16875e-01
INFO - run_lib.py - 2025-01-29 13:55:41,613 - step: 156550, training_loss: 3.61293e-01
INFO - run_lib.py - 2025-01-29 13:55:41,699 - step: 156600, training_loss: 3.21774e-01
INFO - run_lib.py - 2025-01-29 13:55:41,705 - step: 156600, eval_loss: 3.10679e-01
INFO - run_lib.py - 2025-01-29 13:55:41,798 - step: 156650, training_loss: 3.00572e-01
INFO - run_lib.py - 2025-01-29 13:55:41,875 - step: 156700, training_loss: 3.28653e-01
INFO - run_lib.py - 2025-01-29 13:55:41,881 - step: 156700, eval_loss: 2.90707e-01
INFO - run_lib.py - 2025-01-29 13:55:41,971 - step: 156750, training_loss: 3.16488e-01
INFO - run_lib.py - 2025-01-29 13:55:42,062 - step: 156800, training_loss: 3.03657e-01
INFO - run_lib.py - 2025-01-29 13:55:42,069 - step: 156800, eval_loss: 3.17945e-01
INFO - run_lib.py - 2025-01-29 13:55:42,233 - step: 156850, training_loss: 3.57786e-01
INFO - run_lib.py - 2025-01-29 13:55:42,354 - step: 156900, training_loss: 3.54368e-01
INFO - run_lib.py - 2025-01-29 13:55:42,358 - step: 156900, eval_loss: 2.79742e-01
INFO - run_lib.py - 2025-01-29 13:55:42,443 - step: 156950, training_loss: 3.75492e-01
INFO - run_lib.py - 2025-01-29 13:55:42,528 - step: 157000, training_loss: 3.71344e-01
INFO - run_lib.py - 2025-01-29 13:55:42,535 - step: 157000, eval_loss: 3.82790e-01
INFO - run_lib.py - 2025-01-29 13:55:42,626 - step: 157050, training_loss: 3.57057e-01
INFO - run_lib.py - 2025-01-29 13:55:42,717 - step: 157100, training_loss: 3.44077e-01
INFO - run_lib.py - 2025-01-29 13:55:42,723 - step: 157100, eval_loss: 3.73933e-01
INFO - run_lib.py - 2025-01-29 13:55:42,916 - step: 157150, training_loss: 3.44151e-01
INFO - run_lib.py - 2025-01-29 13:55:43,017 - step: 157200, training_loss: 3.48888e-01
INFO - run_lib.py - 2025-01-29 13:55:43,023 - step: 157200, eval_loss: 3.77338e-01
INFO - run_lib.py - 2025-01-29 13:55:43,127 - step: 157250, training_loss: 3.53888e-01
INFO - run_lib.py - 2025-01-29 13:55:43,213 - step: 157300, training_loss: 3.46877e-01
INFO - run_lib.py - 2025-01-29 13:55:43,219 - step: 157300, eval_loss: 3.08986e-01
INFO - run_lib.py - 2025-01-29 13:55:43,309 - step: 157350, training_loss: 3.31550e-01
INFO - run_lib.py - 2025-01-29 13:55:43,402 - step: 157400, training_loss: 3.21543e-01
INFO - run_lib.py - 2025-01-29 13:55:43,409 - step: 157400, eval_loss: 3.32474e-01
INFO - run_lib.py - 2025-01-29 13:55:43,514 - step: 157450, training_loss: 2.97786e-01
INFO - run_lib.py - 2025-01-29 13:55:43,609 - step: 157500, training_loss: 2.86047e-01
INFO - run_lib.py - 2025-01-29 13:55:43,616 - step: 157500, eval_loss: 2.95239e-01
INFO - run_lib.py - 2025-01-29 13:55:43,711 - step: 157550, training_loss: 2.84823e-01
INFO - run_lib.py - 2025-01-29 13:55:43,822 - step: 157600, training_loss: 2.91020e-01
INFO - run_lib.py - 2025-01-29 13:55:43,833 - step: 157600, eval_loss: 3.07142e-01
INFO - run_lib.py - 2025-01-29 13:55:43,950 - step: 157650, training_loss: 2.87366e-01
INFO - run_lib.py - 2025-01-29 13:55:44,084 - step: 157700, training_loss: 2.97202e-01
INFO - run_lib.py - 2025-01-29 13:55:44,092 - step: 157700, eval_loss: 3.36380e-01
INFO - run_lib.py - 2025-01-29 13:55:44,281 - step: 157750, training_loss: 2.81999e-01
INFO - run_lib.py - 2025-01-29 13:55:44,454 - step: 157800, training_loss: 3.12439e-01
INFO - run_lib.py - 2025-01-29 13:55:44,466 - step: 157800, eval_loss: 3.05280e-01
INFO - run_lib.py - 2025-01-29 13:55:44,619 - step: 157850, training_loss: 3.29997e-01
INFO - run_lib.py - 2025-01-29 13:55:44,734 - step: 157900, training_loss: 3.37097e-01
INFO - run_lib.py - 2025-01-29 13:55:44,740 - step: 157900, eval_loss: 3.06343e-01
INFO - run_lib.py - 2025-01-29 13:55:44,835 - step: 157950, training_loss: 3.32453e-01
INFO - run_lib.py - 2025-01-29 13:55:44,936 - step: 158000, training_loss: 2.95609e-01
INFO - run_lib.py - 2025-01-29 13:55:44,942 - step: 158000, eval_loss: 3.30938e-01
INFO - run_lib.py - 2025-01-29 13:55:45,059 - step: 158050, training_loss: 3.23678e-01
INFO - run_lib.py - 2025-01-29 13:55:45,199 - step: 158100, training_loss: 2.86325e-01
INFO - run_lib.py - 2025-01-29 13:55:45,207 - step: 158100, eval_loss: 3.06261e-01
INFO - run_lib.py - 2025-01-29 13:55:45,409 - step: 158150, training_loss: 3.16245e-01
INFO - run_lib.py - 2025-01-29 13:55:45,601 - step: 158200, training_loss: 3.04689e-01
INFO - run_lib.py - 2025-01-29 13:55:45,612 - step: 158200, eval_loss: 2.85564e-01
INFO - run_lib.py - 2025-01-29 13:55:45,742 - step: 158250, training_loss: 3.12150e-01
INFO - run_lib.py - 2025-01-29 13:55:45,834 - step: 158300, training_loss: 3.16748e-01
INFO - run_lib.py - 2025-01-29 13:55:45,842 - step: 158300, eval_loss: 3.48349e-01
INFO - run_lib.py - 2025-01-29 13:55:45,939 - step: 158350, training_loss: 3.82583e-01
INFO - run_lib.py - 2025-01-29 13:55:46,025 - step: 158400, training_loss: 3.48288e-01
INFO - run_lib.py - 2025-01-29 13:55:46,033 - step: 158400, eval_loss: 3.40479e-01
INFO - run_lib.py - 2025-01-29 13:55:46,174 - step: 158450, training_loss: 3.24042e-01
INFO - run_lib.py - 2025-01-29 13:55:46,271 - step: 158500, training_loss: 3.39943e-01
INFO - run_lib.py - 2025-01-29 13:55:46,277 - step: 158500, eval_loss: 3.33201e-01
INFO - run_lib.py - 2025-01-29 13:55:46,378 - step: 158550, training_loss: 3.29525e-01
INFO - run_lib.py - 2025-01-29 13:55:46,466 - step: 158600, training_loss: 3.74316e-01
INFO - run_lib.py - 2025-01-29 13:55:46,473 - step: 158600, eval_loss: 3.09539e-01
INFO - run_lib.py - 2025-01-29 13:55:46,564 - step: 158650, training_loss: 3.31903e-01
INFO - run_lib.py - 2025-01-29 13:55:46,648 - step: 158700, training_loss: 3.26025e-01
INFO - run_lib.py - 2025-01-29 13:55:46,655 - step: 158700, eval_loss: 3.46120e-01
INFO - run_lib.py - 2025-01-29 13:55:46,742 - step: 158750, training_loss: 3.37502e-01
INFO - run_lib.py - 2025-01-29 13:55:46,824 - step: 158800, training_loss: 3.80542e-01
